Q3,Q5,hireability_HR_10,years_experience_H,prev_jobs_H,applicant_male,applicant_age,applicant_ethnicity,hireability_Software_10,years_experience_S,prev_jobs_S,Q226,Q227,Q228,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,Q117,PROLIFIC_PID,Job,Cond,Name,Dates1,Dates2
1,,,,,,,,,,,,,,,,,,,,,,1.24E+02,,,,,
1,,,,,,,,,,,,,,,,,,,,,,1.25E+02,,,,,
1,,,,,,,,,,,,,,,,,,,,,,126,,,,,
1,,,,,,,,,,,,,,,,,,,,,,127,,,,,
6,ice,,,,,,,100,10,2,0,30,7,1,,66,2,6,,No,37,128,Software,Female Treat,Jessica Smith,6 years,4 years
1,,,,,,,,,,,,,,,,,,,,,,129,,,,,
1,,,,,,,,,,,,,,,,,,,,,,130,,,,,
6,ice,80,10,2,0,34,7,,,,,,,1,,45,2,2,,,32,131,HR,Female Treat,Sarah Brown,6 years,4 years
1,,,,,,,,,,,,,,,,,,,,,,1.32E+02,,,,,
6,ice,81,10,3,1,33,7,,,,,,,0,,56,2,6,,No,32,1.33E+02,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,71,7,2,0,35,7,,,,,,,1,,74,2,5,,no,37,134,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,72,4,2,1,28,7,0,,57,2,2,,,40,135,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,95,10,2,0,36,7,1,,66,2,5,,No,32,136,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,100,5,2,0,25,7,0,,73,2,6,,No.,34,137,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,100,7,2,0,28,7,1,,69,2,3,,no,40,138,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,80,10,3,0,30,7,,,,,,,1,,50,2,5,,no,28,139,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
1,,,,,,,,,,,,,,,,,,,,,,1.40E+02,,,,,
6,ice,,,,,,,71,6,3,1,30,7,1,,66,3,6,,no,33,1.41E+02,Software,Male Treat,James Smith,6 years,4 years
6,ice,,,,,,,85,10,3,1,30,7,0,,72,2,6,,No,36,142,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,93,6,2,0,35,7,,,,,,,1,,74,2,3,,,40,143,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,92,10,2,0,25,7,,,,,,,1,,76,3,5,,no,42,144,HR,Female Treat,Sarah Brown,6 years,4 years
