CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
CPC1	Candidate and potential candidate countries except Türkiye and Kosovo* (under United Nations Security Council Resolution 1244/99)	Pays candidats et candidats potentiels hors Turquie et Kosovo* (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)	Kandidaten- und potentielle Kandidatenländer ohne Türkei und Kosovo* (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)	Y	This aggregate covers following candidate and potential candidate countries: ME, MK, AL, RS, BA. *This designation is without prejudice to positions on status and is in line with UNSCR 1244/1999 and the ICJ Opinion on the Kosovo declaration of independence.
CC_V	Candidate countries (aggregate changing according to the context)	Pays candidats (agrégat variable en fonction du contexte)	Kandidatenländer (Aggregat ändert sich je nach Anwendungsbereich)	N	
CC8_22	Candidate countries from 2022 (8 countries)	Pays candidats à partir de 2022 (8 pays)	Kandidatenländer ab 2022 (8 Länder)	Y	This aggregate covers the Candidate Countries from 2022: BA, ME, MD, MK, AL, RS, TR, UA
CC8_22_FOR	Candidate countries from 2022 (8 countries) except reporting country	Pays candidats à partir de 2022 (8 pays) hors pays declarant	Kandidatenländer ab 2022 (8 Länder) ohne das Meldeland	Y	
CC7_22	Candidate countries from 2022 (7 countries)	Pays candidats à partir de 2022 (7 pays)	Kandidatenländer ab 2022 (7 Länder)	Y	This aggregate covers the Candidate Countries from 2022: ME, MD, MK, AL, RS, TR, UA
CC7_22_FOR	Candidate countries from 2022 (7 countries) except reporting country	Pays candidats à partir de 2022 (7 pays) hors pays declarant	Kandidatenländer ab 2022 (7 Länder) ohne das Meldeland	Y	
CC5_15	Candidate countries from 2015 (5 countries)	Pays candidats à partir de 2015 (5 pays)	Kandidatenländer ab 2015 (5 Länder)	Y	This aggregate covers the Candidate Countries from 2015: ME, MK, AL, RS, TR
CC5_15_FOR	Candidate countries from 2015 (5 countries) except reporting country	Pays candidats à partir de 2015 (5 pays) hors pays declarant	Kandidatenländer ab 2015 (5 Länder) ohne das Meldeland	Y	
CC6_14	Candidate countries in 2014 (6 countries)	Pays candidats en 2014 (6 pays)	Kandidatenländer in 2014 (6 Länder)	Y	This aggregate covers the Candidate Countries in 2014: ME, IS, MK, AL, RS, TR
CC5_13	Candidate countries in 2013 (5 countries)	Pays candidats en 2013 (5 pays)	Kandidatenländer in 2013 (5 Länder)	Y	This aggregate covers the Candidate Countries in 2013: ME, IS, MK, RS, TR
CC5_13_FOR_X_IS	Candidate countries in 2013 (5 countries) except reporting country and Iceland	Pays candidats en 2013 (5 pays) hors pays declarant et Islande	Kandidatenländer in 2013 (5 Länder) ohne das Meldeland und Island	N	
CC6_12	Candidate countries in 2012 (6 countries)	Pays candidats en 2012 (6 pays)	Kandidatenländer in 2012 (6 Länder)	Y	This aggregate covers the Candidate Countries in 2012: ME, HR, IS, MK, RS, TR
CC5_10	Candidate countries in 2010 (5 countries)	Pays candidats en 2010 (5 pays)	Kandidatenländer in 2010 (5 Länder)	Y	This aggregate covers the Candidate Countries in 2010: ME, HR, IS, MK, TR
CC4_10	Candidate countries in 2010 (4 countries)	Pays candidats en 2010 (4 pays)	Kandidatenländer in 2010 (4 Länder)	Y	This aggregate covers the Candidate Countries in 2010: ME, HR, MK, TR
CC3_07	Candidate countries in 2007 (3 countries)	Pays candidats en 2007 (3 pays)	Kandidatenländer in 2007 (3 Länder)	Y	This aggregate covers the Candidate Countries in 2007: HR, MK, TR
CC5_06	Candidate countries in 2006 (5 countries)	Pays candidats en 2006 (5 pays)	Kandidatenländer in 2006 (5 Länder)	Y	This aggregate covers the Candidate Countries in 2006: BG, RO, HR, MK, TR
CC4_05	Candidate countries in 2005 (4 countries)	Pays candidats en 2005 (4 pays)	Kandidatenländer in 2005 (4 Länder)	Y	This aggregate covers the Candidate Countries in 2005: BG, RO, HR, TR
